bat,total_runs,total_balls,innings,dismissals,average,strike_rate,not_outs
Virat Kohli,11783,12632,235,235,50.14,93.28,0
Kumar Sangakkara,10954,13475,265,265,41.34,81.29,0
MS Dhoni,10738,12277,294,294,36.52,87.46,0
AB de Villiers,9580,9476,218,218,43.94,101.1,0
Tillakaratne Dilshan,9232,10573,258,258,35.78,87.32,0
Rohit Sharma,8934,10055,214,214,41.75,88.85,0
Ross Taylor,8321,10077,211,211,39.44,82.57,0
Mahela Jayawardene,8176,9869,252,252,32.44,82.85,0
Hashim Amla,8119,9182,178,178,45.61,88.42,0
Eoin Morgan,7053,7624,211,211,33.43,92.51,0
Michael Clarke,7039,9052,191,191,36.85,77.76,0
Upul Tharanga,6839,9020,220,220,31.09,75.82,0
Tamim Iqbal,6834,8783,198,198,34.52,77.81,0
Martin Guptill,6642,7600,175,175,37.95,87.39,0
Chris Gayle,6568,7016,190,190,34.57,93.61,0
Ricky Ponting,6284,7485,159,159,39.52,83.95,0
Mohammad Hafeez,6194,7831,194,194,31.93,79.1,0
Kane Williamson,6135,7497,142,142,43.2,81.83,0
Yuvraj Singh,6113,6940,179,179,34.15,88.08,0
Mushfiqur Rahim,5969,7467,197,197,30.3,79.94,0
Shakib Al Hasan,5956,7180,186,186,32.02,82.95,0
Joe Root,5857,6701,135,135,43.39,87.4,0
Angelo Mathews,5811,6963,183,183,31.75,83.46,0
Shikhar Dhawan,5638,6005,134,134,42.07,93.89,0
Suresh Raina,5616,6012,194,194,28.95,93.41,0
Brendan Taylor,5532,7114,167,167,33.13,77.76,0
Faf du Plessis,5510,6218,136,136,40.51,88.61,0
Shoaib Malik,5507,6606,185,185,29.77,83.36,0
Shane Watson,5441,5891,150,150,36.27,92.36,0
Michael Hussey,5426,6221,155,155,35.01,87.22,0
Brendon McCullum,5316,5242,185,185,28.74,101.41,0
Hamilton Masakadza,5305,7263,193,193,27.49,73.04,0
Ian Bell,5254,6790,152,152,34.57,77.38,0
David Warner,5142,5377,116,116,44.33,95.63,0
Virender Sehwag,5118,4608,142,142,36.04,111.07,0
Jean-Paul Duminy,5085,5993,173,173,29.39,84.85,0
Gautam Gambhir,5077,5912,138,138,36.79,85.88,0
Graeme Smith,4998,5954,138,138,36.22,83.94,0
Sachin Tendulkar,4932,5716,119,119,41.45,86.28,0
Quinton de Kock,4907,5155,115,115,42.67,95.19,0
Misbah-ul-Haq,4823,6497,135,135,35.73,74.23,0
Aaron Finch,4808,5373,118,118,40.75,89.48,0
Younis Khan,4355,5668,149,149,29.23,76.83,0
Kevin Pietersen,4337,5009,122,122,35.55,86.58,0
Jacques Kallis,4310,5658,120,120,35.92,76.18,0
Marlon Samuels,4205,5593,144,144,29.2,75.18,0
Shivnarine Chanderpaul,4127,5693,102,102,40.46,72.49,0
Paul Stirling,4032,4636,110,110,36.65,86.97,0
Steven Smith,4026,4559,107,107,37.63,88.31,0
Mahmudullah,3994,5222,160,160,24.96,76.48,0
Shahid Afridi,3940,2904,185,185,21.3,135.67,0
Sean Williams,3846,4649,124,124,31.02,82.73,0
Jos Buttler,3839,3207,117,117,32.81,119.71,0
Elton Chigumbura,3745,4750,173,173,21.65,78.84,0
Paul Collingwood,3733,4751,123,123,30.35,78.57,0
William Porterfield,3630,5272,125,125,29.04,68.85,0
Mohammad Yousuf,3628,4752,102,102,35.57,76.35,0
Dinesh Chandimal,3596,4854,132,132,27.24,74.08,0
Babar Azam,3580,4074,75,75,47.73,87.87,0
Andrew Strauss,3561,4329,104,104,34.24,82.26,0
Ramnaresh Sarwan,3469,4717,101,101,34.35,73.54,0
Jason Roy,3381,3151,81,81,41.74,107.3,0
Sanath Jayasuriya,3362,3425,107,107,31.42,98.16,0
Kevin O'Brien,3228,3689,124,124,26.03,87.5,0
Alastair Cook,3205,4156,92,92,34.84,77.12,0
Umar Akmal,3195,3711,110,110,29.05,86.1,0
Lahiru Thirimanne,3194,4419,105,105,30.42,72.28,0
Herschelle Gibbs,3174,3650,85,85,37.34,86.96,0
Rahul Dravid,3141,4149,94,94,33.41,75.7,0
Kamran Akmal,3065,3675,130,130,23.58,83.4,0
David Miller,3058,3054,108,108,28.31,100.13,0
George Bailey,3048,3646,85,85,35.86,83.6,0
Glenn Maxwell,3044,2418,103,103,29.55,125.89,0
Brad Haddin,3034,3559,107,107,28.36,85.25,0
Shai Hope,3005,4042,67,67,44.85,74.34,0
Adam Gilchrist,2966,2873,87,87,34.09,103.24,0
Ajinkya Rahane,2962,3768,87,87,34.05,78.61,0
Mohammad Shahzad,2919,3307,90,90,32.43,88.27,0
Jonny Bairstow,2861,2749,68,68,42.07,104.07,0
Dwayne Bravo,2843,3412,131,131,21.7,83.32,0
Darren Bravo,2838,4038,104,104,27.29,70.28,0
Jonathan Trott,2819,3658,65,65,43.37,77.06,0
Andrew Symonds,2802,2985,82,82,34.17,93.87,0
Shaun Marsh,2774,3407,72,72,38.53,81.42,0
Mohammad Nabi,2773,3246,112,112,24.76,85.43,0
Kusal Perera,2739,2945,93,93,29.45,93.01,0
Sikandar Raza,2708,3296,96,96,28.21,82.16,0
Ravi Bopara,2695,3463,109,109,24.72,77.82,0
Ben Stokes,2682,2855,81,81,33.11,93.94,0
Mohammad Ashraful,2634,3718,117,117,22.51,70.84,0
Ahmed Shehzad,2605,3614,81,81,32.16,72.08,0
Ed Joyce,2598,3601,77,77,33.74,72.15,0
Scott Styris,2595,3273,80,80,32.44,79.29,0
Craig Ervine,2590,3457,93,93,27.85,74.92,0
Tom Latham,2553,3098,88,88,29.01,82.41,0
Matthew Hayden,2488,3010,56,56,44.43,82.66,0
Salman Butt,2468,3229,71,71,34.76,76.43,0
Imrul Kayes,2439,3424,78,78,31.27,71.23,0
Alex Hales,2419,2528,67,67,36.1,95.69,0
Kieron Pollard,2402,2548,98,98,24.51,94.27,0
Kyle Coetzer,2392,2789,57,57,41.96,85.77,0
Niall O'Brien,2370,3321,92,92,25.76,71.36,0
Rahmat Shah,2364,3364,69,69,34.26,70.27,0
Asghar Afghan,2364,3547,105,105,22.51,66.65,0
Mark Boucher,2363,2593,96,96,24.61,91.13,0
Ravindra Jadeja,2303,2641,105,105,21.93,87.2,0
Sarfaraz Ahmed,2302,2622,90,90,25.58,87.8,0
Tatenda Taibu,2301,3254,78,78,29.5,70.71,0
Vusi Sibanda,2296,3558,96,96,23.92,64.53,0
Thisara Perera,2210,1979,128,128,17.27,111.67,0
Denesh Ramdin,2210,2742,110,110,20.09,80.6,0
Chamu Chibhabha,2180,3394,100,100,21.8,64.23,0
Calum MacLeod,2149,2594,64,64,33.58,82.85,0
Cameron White,2076,2587,77,77,26.96,80.25,0
Gary Wilson,2023,2814,95,95,21.29,71.89,0
Kusal Mendis,1977,2371,70,70,28.24,83.38,0
Grant Elliott,1976,2417,69,69,28.64,81.75,0
Fakhar Zaman,1960,2059,47,47,41.7,95.19,0
Lendl Simmons,1958,2680,65,65,30.12,73.06,0
Richie Berrington,1874,2516,73,73,25.67,74.48,0
Daren Sammy,1871,1870,103,103,18.17,100.05,0
Azhar Ali,1845,2479,53,53,34.81,74.43,0
Imam-ul-Haq,1832,2278,40,40,45.8,80.42,0
Samiullah Shinwari,1810,2765,74,74,24.46,65.46,0
Andy Balbirnie,1804,2395,61,61,29.57,75.32,0
Jason Holder,1797,1903,87,87,20.66,94.43,0
David Hussey,1796,1985,61,61,29.44,90.48,0
Matthew Wade,1777,2164,80,80,22.21,82.12,0
Moeen Ali,1766,1697,82,82,21.54,104.07,0
Dinesh Karthik,1759,2386,78,78,22.55,73.72,0
Shahriar Nafees,1743,2547,63,63,27.67,68.43,0
Soumya Sarkar,1729,1754,54,54,32.02,98.57,0
Ambati Rayudu,1694,2143,50,50,33.88,79.05,0
Haris Sohail,1685,1976,41,41,41.1,85.27,0
