bowl,wickets,runs,balls,econ,avg
Lasith Malinga,357,9557,11171,5.13,26.77
Shakib Al Hasan,273,7638,10245,4.47,27.98
Mitchell Johnson,256,6027,7840,4.61,23.54
Shahid Afridi,255,8016,10561,4.55,31.44
Mashrafe Mortaza,253,7817,9731,4.82,30.9
Brett Lee,238,5236,6945,4.52,22.0
James Anderson,225,6366,7929,4.82,28.29
Nuwan Kulasekara,218,6581,8178,4.83,30.19
Dale Steyn,215,5091,6451,4.74,23.68
Stuart Broad,203,5372,6295,5.12,26.46
Kyle Mills,203,5084,6511,4.68,25.04
Ravindra Jadeja,200,6737,8284,4.88,33.68
Tim Southee,198,6341,7179,5.3,32.03
Morne Morkel,197,4764,6021,4.75,24.18
Abdur Razzak,197,5475,7204,4.56,27.79
Daniel Vettori,196,5071,7699,3.95,25.87
Dwayne Bravo,195,5279,6035,5.25,27.07
Saeed Ajmal,190,4171,6092,4.11,21.95
Thisara Perera,188,5556,5824,5.72,29.55
Imran Tahir,184,4297,5598,4.61,23.35
Muthiah Muralidaran,184,4225,6070,4.18,22.96
Zaheer Khan,182,4742,5900,4.82,26.05
Mitchell Starc,181,3758,4630,4.87,20.76
Trent Boult,175,4111,5048,4.89,23.49
Harbhajan Singh,174,5587,7683,4.36,32.11
Umar Gul,172,4737,5603,5.07,27.54
Shane Watson,165,4547,5556,4.91,27.56
Ravichandran Ashwin,162,4937,6136,4.83,30.48
Chris Woakes,159,4327,4735,5.48,27.21
Nathan Bracken,158,3665,4961,4.43,23.2
Ajantha Mendis,154,3294,4185,4.72,21.39
Adil Rashid,150,4547,4916,5.55,30.31
Bhuvneshwar Kumar,149,4572,5587,4.91,30.68
Mohammed Shami,147,3532,3940,5.38,24.03
Liam Plunkett,144,4013,4331,5.56,27.87
Mohammad Nabi,143,4197,5970,4.22,29.35
Rashid Khan,141,2467,3616,4.09,17.5
Jason Holder,139,4774,5335,5.37,34.35
Wahab Riaz,138,4068,4487,5.44,29.48
Jerome Taylor,138,3747,4454,5.05,27.15
Kemar Roach,137,3765,4609,4.9,27.48
Irfan Pathan,137,3904,4529,5.17,28.5
Rubel Hossain,135,4302,4659,5.54,31.87
Prosper Utseya,135,5484,7363,4.47,40.62
Mohammad Hafeez,131,4875,7017,4.17,37.21
Angelo Mathews,131,3883,5114,4.56,29.64
Graeme Cremer,130,3538,4672,4.54,27.22
Ishant Sharma,125,3554,3846,5.54,28.43
Kagiso Rabada,124,3199,4019,4.78,25.8
Farveez Maharoof,123,3231,4038,4.8,26.27
Tim Bresnan,123,3813,4347,5.26,31.0
Dawlat Zadran,120,3423,3919,5.24,28.52
Junaid Khan,119,3218,3708,5.21,27.04
Kevin O'Brien,119,3465,4093,5.08,29.12
Jasprit Bumrah,116,2449,3268,4.5,21.11
Umesh Yadav,116,3566,3702,5.78,30.74
Graeme Swann,114,2864,3808,4.51,25.12
