over,total_runs,balls,rpo
1,19075,32020,3.57
2,22416,31965,4.21
3,22919,31384,4.38
4,24176,31313,4.63
5,24946,31208,4.8
6,25499,31192,4.9
7,24828,31087,4.79
8,25690,31018,4.97
9,24406,30968,4.73
10,24780,30933,4.81
11,23204,30900,4.51
12,23395,30857,4.55
13,22841,30729,4.46
14,23378,30879,4.54
15,23506,30569,4.61
16,22814,30473,4.49
17,22695,30534,4.46
18,22445,30373,4.43
19,22684,30258,4.5
20,22931,30077,4.57
21,22867,29950,4.58
22,22585,29741,4.56
23,23285,29599,4.72
24,23069,29439,4.7
25,22921,29188,4.71
26,22946,28983,4.75
27,23066,28882,4.79
28,22763,28591,4.78
29,22906,28374,4.84
30,23158,28192,4.93
31,22755,27971,4.88
32,22703,27636,4.93
33,22353,27240,4.92
34,22297,26931,4.97
35,22565,26489,5.11
36,23004,26093,5.29
37,23230,25613,5.44
38,23165,25164,5.52
39,22402,24645,5.45
40,22886,24124,5.69
41,22275,23484,5.69
42,22694,22937,5.94
43,23048,22350,6.19
44,23245,21467,6.5
45,23183,20623,6.74
46,23061,19530,7.08
47,22961,18470,7.46
48,22543,16913,8.0
49,21483,15024,8.58
50,19575,12454,9.43
51,19,17,6.71
