year,bat,runs,balls,sr
2005,AB de Villiers,221,331,66.77
2005,Abdul Razzaq,520,585,88.89
2005,Adam Bacher,102,175,58.29
2005,Adam Gilchrist,893,861,103.72
2005,Aftab Ahmed,300,407,73.71
2005,Ajit Agarkar,61,90,67.78
2005,Alester Maregwede,29,60,48.33
2005,Andre Adams,67,61,109.84
2005,Andrew Flintoff,490,626,78.27
2005,Andrew Hall,117,194,60.31
2005,Andrew Strauss,713,877,81.3
2005,Andrew Symonds,814,895,90.95
2005,Andy Blignaut,92,81,113.58
2005,Anil Kumble,44,69,63.77
2005,Ashley Giles,130,145,89.66
2005,Ashwell Prince,604,907,66.59
2005,Avishka Gunawardene,52,61,85.25
2005,Azhar Mahmood,57,60,95.0
2005,Barney Rogers,300,449,66.82
2005,Bazid Khan,66,97,68.04
2005,Boeta Dippenaar,371,429,86.48
2005,Brad Haddin,62,79,78.48
2005,Brad Hodge,72,115,62.61
2005,Brad Hogg,95,125,76.0
2005,Brendan Taylor,282,477,59.12
2005,Brendon McCullum,410,423,96.93
2005,Brett Lee,156,169,92.31
2005,Brian Lara,438,529,82.8
2005,Chaminda Vaas,117,161,72.67
2005,Charles Coventry,134,141,95.04
2005,Chris Cairns,282,256,110.16
2005,Chris Gayle,563,635,88.66
2005,Courtney Browne,193,217,88.94
2005,Craig McMillan,452,539,83.86
2005,Damien Martyn,806,1066,75.61
2005,Daniel Vettori,258,262,98.47
2005,Darren Gough,76,90,84.44
2005,Darren Lehmann,89,96,92.71
2005,Denesh Ramdin,127,152,83.55
2005,Dilhara Lokuhettige,77,85,90.59
2005,Dion Ebrahim,28,74,37.84
2005,Dwayne Bravo,213,290,73.45
2005,Dwayne Smith,212,213,99.53
2005,Elton Chigumbura,106,98,108.16
2005,Farveez Maharoof,121,188,64.36
2005,Gautam Gambhir,181,204,88.73
2005,Gavin Ewing,97,127,76.38
2005,Geraint Jones,301,485,62.06
2005,Graeme Smith,985,1137,86.63
2005,Habibul Bashar,337,474,71.1
2005,Hamilton Masakadza,173,273,63.37
2005,Hamish Marshall,309,449,68.82
2005,Harbhajan Singh,109,130,83.85
2005,Heath Streak,191,305,62.62
2005,Herschelle Gibbs,726,892,81.39
2005,Ian Bell,63,74,85.14
2005,Ian Blackwell,53,70,75.71
2005,Ian Bradshaw,95,162,58.64
2005,Iftikhar Anjum,41,68,60.29
2005,Inzamam-ul-Haq,874,974,89.73
2005,Irfan Pathan,384,432,88.89
2005,Jacob Oram,207,289,71.63
2005,Jacques Kallis,687,1074,63.97
2005,Jacques Rudolph,124,226,54.87
2005,Jai Prakash Yadav,81,118,68.64
2005,James Franklin,33,70,47.14
2005,Jamie How,58,95,61.05
2005,Jason Gillespie,66,70,94.29
2005,Javed Omar,225,434,51.84
2005,Justin Kemp,677,678,99.85
2005,Kabir Ali,91,96,94.79
2005,Kamran Akmal,569,625,91.04
2005,Kevin Pietersen,784,760,103.16
2005,Khaled Mahmud,66,65,101.54
2005,Khaled Mashud,261,408,63.97
2005,Kumar Sangakkara,748,966,77.43
2005,Kyle Mills,51,76,67.11
2005,Liam Plunkett,94,121,77.69
2005,Lou Vincent,541,503,107.55
2005,MS Dhoni,895,870,102.87
2005,Mahela Jayawardene,523,632,82.75
2005,Manzarul Islam,61,112,54.46
2005,Marcus Trescothick,553,695,79.57
2005,Mark Boucher,470,561,83.78
2005,Marlon Samuels,36,56,64.29
2005,Marvan Atapattu,498,698,71.35
2005,Mashrafe Mortaza,76,80,95.0
2005,Matt Prior,94,122,77.05
2005,Matthew Hayden,481,683,70.42
2005,Michael Clarke,954,1154,82.67
2005,Michael Hussey,587,577,101.73
2005,Michael Vaughan,291,468,62.18
2005,Mohammad Ashraful,395,475,83.16
2005,Mohammad Hafeez,124,241,51.45
2005,Mohammad Kaif,697,966,72.15
2005,Mohammad Rafique,160,220,72.73
2005,Mohammad Yousuf,885,1085,81.57
2005,Nafees Iqbal,185,272,68.01
2005,Narsingh Deonarine,91,183,49.73
2005,Nathan Astle,428,667,64.17
2005,Naved-ul-Hasan,157,204,76.96
2005,Nicky Boje,75,81,92.59
2005,Omari Banks,39,53,73.58
2005,Paul Collingwood,432,580,74.48
2005,Peter Fulton,70,79,88.61
