bat,total_runs,total_balls,innings,dismissals,average,strike_rate
A Warnakulasuriya,16,11,2,2,8.0,145.45
AB de Villiers,5829,3637,169,169,34.49,160.27
AKV Tyrone,86,46,5,5,17.2,186.96
AM Ghazanfar,88,82,17,16,5.5,107.32
AN Hyobeom,9,17,3,3,3.0,52.94
Aadil Ali,206,192,17,17,12.12,107.29
Aaftab Alam Khan,274,215,23,23,11.91,127.44
Aaftab Limdawala,587,635,35,35,16.77,92.44
Aahan Gopinath Achar,12,15,5,5,2.4,80.0
Aakarshit Gomel,2,5,1,1,2.0,40.0
Aakash Chand,9,11,3,3,3.0,81.82
Aamer Azmat,81,78,7,7,11.57,103.85
Aamer Ijaz,42,39,2,2,21.0,107.69
Aamer Ikram,58,73,4,4,14.5,79.45
Aamer Jamal,319,244,31,31,10.29,130.74
Aamer Yamin,801,557,56,56,14.3,143.81
Aamir Kaleem,749,682,49,49,15.29,109.82
Aamir Lal,150,133,10,10,15.0,112.78
Aanand Pandey,15,13,1,1,15.0,115.38
Aaqib Liaquat,11,15,1,1,11.0,73.33
Aarif Sheikh,726,602,42,42,17.29,120.6
Aarnav Patel,1,5,1,1,1.0,20.0
Aaron Ayre,0,1,1,1,0.0,0.0
Aaron Beard,56,46,10,10,5.6,121.74
Aaron Cawley,28,35,4,4,7.0,80.0
Aaron Finch,7677,5478,260,260,29.53,140.14
Aaron Gillespie,179,154,9,9,19.89,116.23
Aaron Hardie,1504,1141,71,71,21.18,131.81
Aaron Johnson,910,618,31,31,29.35,147.25
Aaron Jones,1213,1038,70,70,17.33,116.86
Aaron Muslar,32,72,6,6,5.33,44.44
Aaron Phangiso,209,235,31,31,6.74,88.94
Aaron Thomason,324,259,26,26,12.46,125.1
Aarush Bhagwat,5,16,4,4,1.25,31.25
Aarya Desai,99,80,4,4,24.75,123.75
Aaryan Menon,2,5,1,1,2.0,40.0
Aaryan Modi,48,78,6,6,8.0,61.54
Aasif Sheikh,1794,1470,71,71,25.27,122.04
Aayan Afzal Khan,227,247,25,25,9.08,91.9
Abass Gbla,332,316,32,32,10.38,105.06
Abbas Afridi,355,266,39,39,9.1,133.46
Abbas Ghani,469,313,20,20,23.45,149.84
Abbas Musa,202,171,11,11,18.36,118.13
Abdallah Jabiri,113,198,14,14,8.07,57.07
Abdollah Ahmadzai,17,19,7,7,2.43,89.47
Abdoulaye Aminou,59,58,11,11,5.36,101.72
Abdul Ameer,2,5,2,2,1.0,40.0
Abdul Bangalzai,291,290,18,18,16.17,100.34
Abdul Baqi,0,1,1,1,0.0,0.0
Abdul Basith,67,50,3,3,22.33,134.0
Abdul Bhikari,1,6,1,1,1.0,16.67
Abdul Gaffar Saqlain,34,31,5,5,6.8,109.68
Abdul Hadi,177,162,12,12,14.75,109.26
Abdul Hakam,4,6,1,1,4.0,66.67
Abdul Halim,3,9,1,1,3.0,33.33
Abdul Hashmi,134,159,16,16,8.38,84.28
Abdul Kayium,12,11,3,3,4.0,109.09
Abdul Majid,29,39,14,14,2.07,74.36
Abdul Malik,337,272,18,18,18.72,123.9
Abdul Mazid,390,379,23,23,16.96,102.9
Abdul Naser Baluch,103,86,12,12,8.58,119.77
Abdul Nasir,0,2,1,1,0.0,0.0
Abdul Rahman,114,90,17,17,6.71,126.67
Abdul Rahman Bhadelia,144,130,7,7,20.57,110.77
Abdul Razak,4,4,1,1,4.0,100.0
Abdul Razzaq,49,46,4,4,12.25,106.52
Abdul Salman Khan,8,11,2,2,4.0,72.73
Abdul Samad,1084,745,72,72,15.06,145.5
Abdul Shakoor,289,283,20,20,14.45,102.12
Abdul Stanikzai,71,88,5,5,14.2,80.68
Abdul Waheed,1556,1205,53,53,29.36,129.13
Abdul Wahid,201,155,13,13,15.46,129.68
Abdul Wasi,139,173,10,10,13.9,80.35
Abdul-Shakoor Rahimzei,267,255,19,19,14.05,104.71
Abdulla Bhoola,8,15,3,3,2.67,53.33
Abdullah,1,1,1,1,1.0,100.0
Abdullah Adil,39,31,7,7,5.57,125.81
Abdullah Akbarjan,58,85,14,14,4.14,68.24
Abdullah Al Mamun,147,151,12,12,12.25,97.35
Abdullah Bayoumy,30,41,7,7,4.29,73.17
Abdullah Jasat,44,41,8,8,5.5,107.32
Abdullah Khan Lodhi,95,109,4,4,23.75,87.16
Abdullah Mahmood,15,22,7,7,2.14,68.18
Abdullah Mazari,11,4,2,2,5.5,275.0
Abdullah Rana,42,27,5,5,8.4,155.56
Abdullah Shafique,1813,1330,65,65,27.89,136.32
Abdullah Shahid,45,56,3,3,15.0,80.36
Abdullah Sheikh,16,25,4,4,4.0,64.0
Abdullah Tarakhail,74,63,9,9,8.22,117.46
Abdulrahman Jimoh,19,26,5,5,3.8,73.08
Abdur Rahman Sudais,89,86,5,5,17.8,103.49
Abdur Rashid,2,1,1,1,2.0,200.0
Abdur Razzak,32,49,8,8,4.0,65.31
Abdur Rehman,76,57,5,5,15.2,133.33
Abduramani Hussein,1,1,1,1,1.0,100.0
Abednico Motshegetsi,0,1,1,1,0.0,0.0
Abhijeet Ahuja,314,328,18,18,17.44,95.73
Abhijeet Tomar,4,8,1,1,4.0,50.0
Abhijit Sarkar,6,3,2,2,3.0,200.0
Abhijit Venkatesh,287,271,16,16,17.94,105.9
Abhik Patwa,1202,966,46,46,26.13,124.43
Abhilash Patil,12,28,1,1,12.0,42.86
Abhimanyu Easwaran,26,22,3,3,8.67,118.18
Abhimanyu Lamba,0,2,1,1,0.0,0.0
Abhimanyu Mithun,2,8,1,1,2.0,25.0
Abhimanyu Rana,63,62,5,5,12.6,101.61
Abhimanyusingh Rajput,118,102,5,5,23.6,115.69
Abhinav Dixit,2,3,1,1,2.0,66.67
Abhinav Manohar,412,312,24,24,17.17,132.05
Abhishek Ahuja,246,216,13,13,18.92,113.89
Abhishek Anand,111,117,8,8,13.88,94.87
Abhishek Anandakumara,37,43,3,3,12.33,86.05
Abhishek Awasthi,13,53,6,6,2.17,24.53
Abhishek Goswami,160,124,5,5,32.0,129.03
Abhishek Gupta,43,32,2,2,21.5,134.38
Abhishek Nayar,21,17,1,1,21.0,123.53
Abhishek Paradkar,16,13,2,2,8.0,123.08
Abhishek Raut,92,73,2,2,46.0,126.03
Abhishek Reddy,29,31,3,3,9.67,93.55
Abhishek Sharma,3577,2089,128,128,27.95,171.23
Abhishek Thakuri,16,18,3,3,5.33,88.89
Abhishek Yadav,13,12,2,2,6.5,108.33
Abhitesh Prashar,137,86,10,10,13.7,159.3
Abid Ali,211,197,9,9,23.44,107.11
Abid Mohammadi,109,80,4,4,27.25,136.25
Abid Mushtaq,20,30,3,3,6.67,66.67
Abidullah Taniwal,105,63,8,8,13.12,166.67
Abinash Bohara,40,41,14,14,2.86,97.56
Abisheak Liyanaarachchi,131,138,7,7,18.71,94.93
Abishek Kheterpal,295,249,17,17,17.35,118.47
Abishek Porel,714,479,32,32,22.31,149.06
Abongile Sodumo,4,8,1,1,4.0,50.0
Abraash Khan,66,60,4,4,16.5,110.0
Abraham Amado,25,38,3,3,8.33,65.79
Abrar Ahmed,43,55,16,16,2.69,78.18
Abrar Bilal,64,72,6,6,10.67,88.89
Absar Khan,6,9,2,2,3.0,66.67
Abu Hasim,80,64,5,5,16.0,125.0
Abu Hider,480,399,57,57,8.42,120.3
Abu Jayed,89,70,19,19,4.68,127.14
Abu Kamara,213,223,17,17,12.53,95.52
Abu Nechim,10,5,3,3,3.33,200.0
Abu Zar,2,5,2,2,1.0,40.0
Abubacarr Kuyateh,54,83,9,9,6.0,65.06
Abul Farhad,12,25,5,5,2.4,48.0
Abul Hasan,130,138,20,20,6.5,94.2
Achari Sethunathan,6,7,1,1,6.0,85.71
Achille Cloete,3,3,2,2,1.5,100.0
Achira Eranga,3,5,1,1,3.0,60.0
Ackeem Auguste,509,387,29,29,17.55,131.52
Acrey Hugo,10,12,2,2,5.0,83.33
Adam Algar,12,20,1,1,12.0,60.0
Adam Ball,14,8,2,2,7.0,175.0
Adam Berry,24,35,1,1,24.0,68.57
Adam Dennison,135,111,8,8,16.88,121.62
Adam Finch,61,65,13,13,4.69,93.85
Adam Gall,1,2,1,1,1.0,50.0
Adam Hickey,25,25,3,3,8.33,100.0
Adam Hose,4234,3023,176,176,24.06,140.06
Adam Kennedy,0,2,1,1,0.0,0.0
Adam Khan,16,26,3,3,5.33,61.54
Adam Lyth,3982,2684,153,153,26.03,148.36
Adam Martel,97,92,12,12,8.08,105.43
Adam McAuley,334,367,19,19,17.58,91.01
Adam McDaid,17,26,1,1,17.0,65.38
Adam Milne,386,340,69,68,5.68,113.53
Adam Orfila,6,13,3,3,2.0,46.15
Adam Riley,1,1,1,1,1.0,100.0
Adam Rossington,3094,2117,149,149,20.77,146.15
Adam Rosslee,71,65,3,3,23.67,109.23
Adam Senn,168,118,8,8,21.0,142.37
Adam Sylvester,1,1,1,1,1.0,100.0
Adam Voges,797,630,34,34,23.44,126.51
Adam Wheater,1372,1036,68,68,20.18,132.43
Adam Zampa,277,329,77,76,3.64,84.19
Adeel Malik,101,72,4,4,25.25,140.28
Adeesha Nanayakkara,409,379,27,27,15.15,107.92
Adeesha Thilanchana,344,330,27,27,12.74,104.24
Ademola Onikoyi,380,436,25,25,15.2,87.16
Adil Amin,531,482,31,31,17.13,110.17
Adil Bhatti,32,38,4,4,8.0,84.21
Adil Butt,589,342,17,17,34.65,172.22
Adil Khan,17,23,2,2,8.5,73.91
Adil Mehmood,14,5,2,2,7.0,280.0
Adil Naz,5,2,1,1,5.0,250.0
Adil Rashid,496,430,88,88,5.64,115.35
Adisha Nethmika,0,4,1,1,0.0,0.0
Adit Gorawara,38,37,4,4,9.5,102.7
Adithiya Rangaswamy,13,16,5,5,2.6,81.25
Adithya Ashok,44,43,12,12,3.67,102.33
Adithya Siriwardana,0,3,1,1,0.0,0.0
Aditya Garhwal,100,75,5,5,20.0,133.33
Aditya Kaushik,146,145,8,8,18.25,100.69
