bowl,wickets,runs,balls,econ,avg
A Aravinddaraj,2,20,27,4.44,10.0
A Warnakulasuriya,3,41,31,7.94,13.67
AKV Tyrone,2,64,55,6.98,32.0
AM Ghazanfar,62,1245,1133,6.59,20.08
AN Hyobeom,4,87,75,6.96,21.75
Aadil Ali,4,93,73,7.64,23.25
Aaftab Limdawala,28,589,506,6.98,21.04
Aahan Gopinath Achar,8,152,156,5.85,19.0
Aakash Chand,7,122,83,8.82,17.43
Aamer Azmat,1,13,13,6.0,13.0
Aamer Jamal,40,1189,750,9.51,29.72
Aamer Yamin,75,2198,1608,8.2,29.31
Aamir Kaleem,52,886,738,7.2,17.04
Aamir Lal,15,228,217,6.3,15.2
Aaqib Khan,2,86,50,10.32,43.0
Aaqib Liaquat,2,44,25,10.56,22.0
Aarif Sheikh,6,193,122,9.49,32.17
Aarin Nadkarni,0,13,15,5.2,
Aarnav Patel,8,50,49,6.12,6.25
Aaron Beard,25,693,469,8.87,27.72
Aaron Cawley,6,198,180,6.6,33.0
Aaron Finch,3,112,83,8.1,37.33
Aaron Hardie,50,1237,896,8.28,24.74
Aaron Heywood,0,15,12,7.5,
Aaron Johnson,1,36,30,7.2,36.0
Aaron Jones,10,197,147,8.04,19.7
Aaron Muslar,1,36,25,8.64,36.0
Aaron Phangiso,114,2342,2212,6.35,20.54
Aaron Summers,0,93,74,7.54,
Aaron Thomason,29,670,400,10.05,23.1
Aarya Desai,0,11,6,11.0,
Aaryan Menon,0,12,6,12.0,
Aayan Afzal Khan,62,1076,1054,6.13,17.35
Aayush Thakur,0,13,7,11.14,
Abass Gbla,32,474,450,6.32,14.81
Abbas Afridi,108,2131,1464,8.73,19.73
Abbas Ghani,22,371,271,8.21,16.86
Abdollah Ahmadzai,28,443,344,7.73,15.82
Abdul Ameer,11,197,165,7.16,17.91
Abdul Baqi,7,232,180,7.73,33.14
Abdul Bashir,2,114,78,8.77,57.0
Abdul Bhikari,2,30,22,8.18,15.0
Abdul Gaffar,1,78,54,8.67,78.0
Abdul Gaffar Saqlain,13,299,263,6.82,23.0
Abdul Hakam,4,105,86,7.33,26.25
Abdul Halim,2,91,48,11.38,45.5
Abdul Kayium,2,65,43,9.07,32.5
Abdul Latif Ayoubi,0,16,6,16.0,
Abdul Majid,76,1335,1500,5.34,17.57
Abdul Makda,2,17,25,4.08,8.5
Abdul Malik,0,65,55,7.09,
Abdul Naser Baluch,25,409,401,6.12,16.36
Abdul Nasir,1,15,24,3.75,15.0
Abdul Rahman,37,893,675,7.94,24.14
Abdul Razak,1,20,12,10.0,20.0
Abdul Razzaq,3,60,43,8.37,20.0
Abdul Salman Khan,1,37,32,6.94,37.0
Abdul Samad,13,235,213,6.62,18.08
Abdul Waheed,8,172,150,6.88,21.5
Abdul Wahid,16,299,236,7.6,18.69
Abdul Wasi,18,307,236,7.81,17.06
Abdul-Shakoor Rahimzei,7,118,112,6.32,16.86
Abdullah,0,32,25,7.68,
Abdullah Adil,8,399,273,8.77,49.88
Abdullah Akbarjan,36,504,480,6.3,14.0
Abdullah Al Mamun,3,64,46,8.35,21.33
Abdullah Bayoumy,2,38,24,9.5,19.0
Abdullah Jasat,8,176,149,7.09,22.0
Abdullah Mahmood,15,221,211,6.28,14.73
Abdullah Mazari,13,348,261,8.0,26.77
Abdullah Mohd Yousaf,1,3,5,3.6,3.0
Abdullah Rana,14,184,137,8.06,13.14
Abdullah Shahid,0,12,7,10.29,
Abdullah Sheikh,2,79,76,6.24,39.5
Abdullah Tarakhail,15,320,237,8.1,21.33
Abdullahi Ismail,6,90,92,5.87,15.0
Abdulrahman Jimoh,7,80,88,5.45,11.43
Abdur Rashid,11,178,136,7.85,16.18
Abdur Razzak,9,305,270,6.78,33.89
Abdur Rehman,9,415,317,7.85,46.11
Abduramani Hussein,2,55,40,8.25,27.5
Abednico Motshegetsi,0,8,12,4.0,
Abhijeet Ahuja,2,8,12,4.0,4.0
Abhijeet Saket,6,121,94,7.72,20.17
Abhijit Sarkar,2,68,57,7.16,34.0
Abhijit Venkatesh,22,224,218,6.17,10.18
Abhik Patwa,1,18,12,9.0,18.0
Abhimanyu Lamba,1,33,24,8.25,33.0
Abhimanyu Mithun,11,139,101,8.26,12.64
Abhimanyusingh Rajput,7,116,88,7.91,16.57
Abhishek Anand,0,4,6,4.0,
Abhishek Awasthi,2,128,54,14.22,64.0
Abhishek Nayar,0,10,7,8.57,
Abhishek Paradkar,5,102,75,8.16,20.4
Abhishek Raut,1,41,36,6.83,41.0
Abhishek Sharma,36,978,795,7.38,27.17
Abhitesh Prashar,14,220,239,5.52,15.71
Abid Hasan,4,63,42,9.0,15.75
Abid Mushtaq,6,150,151,5.96,25.0
Abidullah Taniwal,5,138,140,5.91,27.6
Abin Mathew,1,40,24,10.0,40.0
Abinash Bohara,82,1616,1340,7.24,19.71
Abiodun Abioye,4,156,118,7.93,39.0
Abishek Kheterpal,15,432,369,7.02,28.8
Abraham Amado,3,58,44,7.91,19.33
Abrar Ahmed,81,1733,1455,7.15,21.4
Absar Khan,1,8,6,8.0,8.0
Abu Hasim,13,156,187,5.01,12.0
Abu Hider,118,2981,2137,8.37,25.26
Abu Jayed,91,2065,1563,7.93,22.69
Abu Kamara,11,213,192,6.66,19.36
Abu Nechim,2,128,76,10.11,64.0
Abubacarr Kuyateh,8,226,177,7.66,28.25
Abul Farhad,15,281,220,7.66,18.73
Abul Hasan,40,814,599,8.15,20.35
Achille Cloete,4,61,63,5.81,15.25
Achintha Denuwan,1,45,36,7.5,45.0
Adam Ball,1,49,31,9.48,49.0
Adam Finch,34,1025,702,8.76,30.15
Adam Gall,0,24,13,11.08,
Adam Hickey,1,11,18,3.67,11.0
Adam Kennedy,0,58,25,13.92,
Adam Lyth,24,609,482,7.58,25.38
Adam Martel,15,426,367,6.96,28.4
Adam Milne,217,4477,3562,7.54,20.63
Adam Orfila,5,135,97,8.35,27.0
Adam Riley,4,123,81,9.11,30.75
Adam Senn,6,211,216,5.86,35.17
Adam Sylvester,0,71,25,17.04,
Adam Voges,1,43,30,8.6,43.0
Adam Zampa,380,7847,6391,7.37,20.65
Adeel Malik,1,92,54,10.22,92.0
Adeesha Nanayakkara,11,163,145,6.74,14.82
Adeesha Thilanchana,30,467,401,6.99,15.57
Adil Amin,13,436,341,7.67,33.54
Adil Bhatti,2,104,93,6.71,52.0
Adil Butt,25,440,353,7.48,17.6
Adil Khan,6,89,81,6.59,14.83
Adil Mehmood,3,134,95,8.46,44.67
Adil Naz,2,23,24,5.75,11.5
Adil Rashid,299,6654,5410,7.38,22.25
Adisha Nethmika,0,11,6,11.0,
Adithiya Rangaswamy,12,140,154,5.45,11.67
Adithya Ashok,28,606,471,7.72,21.64
Aditya Adey,1,34,18,11.33,34.0
Aditya Jadeja,3,41,45,5.47,13.67
Aditya Panwar,6,122,86,8.51,20.33
Aditya Paul,15,314,228,8.26,20.93
Aditya Sarwate,7,105,92,6.85,15.0
Aditya Thakare,3,51,48,6.38,17.0
Adnan Ghaus,2,62,24,15.5,31.0
Adnan Gondal,2,5,12,2.5,2.5
Adnan Idrees,37,710,565,7.54,19.19
Adnan Mirza,15,288,243,7.11,19.2
Adnan Rasool,0,67,41,9.8,
Adnan Razzaq,5,142,103,8.27,28.4
Adnan Shnwarei,2,49,30,9.8,24.5
Adnan Syed,0,39,28,8.36,
Adrian Neill,10,154,128,7.22,15.4
Adrian Nicholas Lascu,8,208,140,8.91,26.0
Adrian Wright,16,382,407,5.63,23.88
Advait Dhabe,9,157,158,5.96,17.44
Adwitya Bhargava,1,14,13,6.46,14.0
Afaq Raheem,1,27,13,12.46,27.0
Afif Hossain,38,1039,749,8.32,27.34
Afif Khattak,1,23,19,7.26,23.0
Aftab Ahmed,0,31,27,6.89,
Aftab Alam,80,1678,1264,7.97,20.98
Aftab Hussain,17,248,241,6.17,14.59
Aftab Ibrahim,5,91,69,7.91,18.2
Aftab Kayani,9,116,123,5.66,12.89
Agha Salman,18,494,424,6.99,27.44
Agostinho Navicha,10,147,124,7.11,14.7
Agrim Tiwari,2,63,48,7.88,31.5
Agustin Husain,9,201,213,5.66,22.33
Agustin Rivero,24,250,319,4.7,10.42
Ahillen Beadle,1,61,48,7.62,61.0
Ahmad Faiz,1,44,46,5.74,44.0
Ahmad Khalid Ahmadzai,6,93,82,6.8,15.5
Ahmad Raza,2,94,78,7.23,47.0
Ahmad Zia,9,133,105,7.6,14.78
Ahmadschah Ahmadzai,2,24,12,12.0,12.0
Ahmadullah Shinwari,26,560,552,6.09,21.54
Ahmed Aqeel,0,4,6,4.0,
Ahmed Baladraf,11,190,169,6.75,17.27
Ahmed Bashir,18,270,235,6.89,15.0
Ahmed Daniyal,29,755,585,7.74,26.03
Ahmed Hassan,4,68,64,6.38,17.0
Ahmed Jamal,7,313,158,11.89,44.71
Ahmed Khan,2,132,99,8.0,66.0
Ahmed Patel,5,60,76,4.74,12.0
Ahmed Raid,0,14,12,7.0,
Ahmed Raza,35,1102,1029,6.43,31.49
Ahmed Safi Abdullah,6,120,98,7.35,20.0
Ahmed Sharif,6,165,119,8.32,27.5
Ahmed Shehzad,2,57,47,7.28,28.5
Ahmed Syed,0,21,19,6.63,
Ahmer Bin Nasir,2,23,18,7.67,11.5
Ahsan Ali,1,9,6,9.0,9.0
Ahsan Bhatti,1,59,43,8.23,59.0
Ahsan Hafeez,3,80,50,9.6,26.67
