team1,team2,matches,wins,losses,win_pct
Abahani Limited,Mohammedan Sporting Club,1,0,1,0.0
Abahani Limited,Prime Bank Cricket Club,1,1,0,100.0
Abahani Limited,Sheikh Jamal Dhanmondi Club,2,1,1,50.0
Abbottabad Falcons,Rawalpindi,1,0,1,0.0
Abbottabad Region,Faisalabad Region,1,0,1,0.0
Abbottabad Region,Lahore Region Whites,1,1,0,100.0
Abu Dhabi Knight Riders,Desert Vipers,3,0,3,0.0
Abu Dhabi Knight Riders,Dubai Capitals,3,1,2,33.3
Abu Dhabi Knight Riders,Gulf Giants,2,1,1,50.0
Abu Dhabi Knight Riders,MI Emirates,4,1,3,25.0
Abu Dhabi Knight Riders,Sharjah Warriors,1,0,1,0.0
Abu Dhabi Knight Riders,Sharjah Warriorz,3,2,1,66.7
Ace Capital Cricket Club,Badureliya Sports Club,1,1,0,100.0
Ace Capital Cricket Club,Bloomfield Cricket and Athletic Club,2,0,2,0.0
Ace Capital Cricket Club,Burgher Recreation Club,1,0,1,0.0
Ace Capital Cricket Club,Colombo Cricket Club,4,1,3,25.0
Ace Capital Cricket Club,Colts Cricket Club,5,0,5,0.0
Ace Capital Cricket Club,Kandy Customs Cricket Club,1,0,1,0.0
Ace Capital Cricket Club,Kurunegala Youth Cricket Club,1,0,1,0.0
Ace Capital Cricket Club,Lankan Cricket Club,4,0,4,0.0
Ace Capital Cricket Club,Moors Sports Club,1,0,1,0.0
Ace Capital Cricket Club,Nondescripts Cricket Club,2,0,2,0.0
Ace Capital Cricket Club,Nugegoda Sports Welfare Club,1,0,1,0.0
Ace Capital Cricket Club,Panadura Sports Club,1,0,1,0.0
Ace Capital Cricket Club,Ragama Cricket Club,2,0,2,0.0
Ace Capital Cricket Club,Sinhalese Sports Club,3,3,0,100.0
Ace Capital Cricket Club,Sri Lanka Air Force Sports Club,2,0,2,0.0
Ace Capital Cricket Club,Sri Lanka Army,2,0,2,0.0
Ace Capital Cricket Club,Sri Lanka Navy Sports Club,1,0,1,0.0
Ace Capital Cricket Club,Tamil Union Cricket and Athletic Club,2,0,2,0.0
Adelaide Strikers,Brisbane Heat,2,1,1,50.0
Adelaide Strikers,Hobart Hurricanes,15,8,7,53.3
Adelaide Strikers,Melbourne Renegades,8,5,3,62.5
Adelaide Strikers,Melbourne Stars,12,7,5,58.3
Adelaide Strikers,Perth Scorchers,17,7,10,41.2
Adelaide Strikers,Sydney Sixers,11,4,7,36.4
Adelaide Strikers,Sydney Thunder,16,7,9,43.8
Afghanistan,Australia,1,1,0,100.0
Afghanistan,Bangladesh,6,1,5,16.7
Afghanistan,England,2,0,2,0.0
Afghanistan,Hong Kong,1,1,0,100.0
Afghanistan,India,4,0,4,0.0
Afghanistan,Ireland,2,2,0,100.0
Afghanistan,Namibia,1,1,0,100.0
Afghanistan,Netherlands,1,1,0,100.0
Afghanistan,New Zealand,2,1,1,50.0
Afghanistan,Pakistan,1,1,0,100.0
Afghanistan,Qatar,1,1,0,100.0
Afghanistan,Scotland,2,2,0,100.0
Afghanistan,South Africa,2,0,2,0.0
Afghanistan,Sri Lanka,5,2,3,40.0
Afghanistan,Uganda,1,1,0,100.0
Afghanistan,United Arab Emirates,5,4,1,80.0
Afghanistan,West Indies,1,1,0,100.0
Afghanistan,Zimbabwe,4,3,1,75.0
Afghanistan A,Bangladesh A,1,0,1,0.0
Afghanistan A,Hong Kong,1,1,0,100.0
Afghanistan A,India A,1,1,0,100.0
Afghanistan A,Oman,2,0,2,0.0
Afghanistan A,Sri Lanka A,1,1,0,100.0
Amo Region,Band-e-Amir Region,2,1,1,50.0
Amo Region,Boost Region,1,1,0,100.0
Amo Sharks,Band-e-Amir Dragons,5,1,4,20.0
Amo Sharks,Boost Defenders,6,2,4,33.3
Amo Sharks,Hindukush Stars,1,1,0,100.0
Amo Sharks,Kabul Eagles,4,1,3,25.0
Amo Sharks,Mis Ainak Knights,7,2,5,28.6
Amo Sharks,Pamir Zalmi,1,1,0,100.0
Amo Sharks,Speen Ghar Tigers,6,2,4,33.3
Andhra,Delhi,1,0,1,0.0
Andhra,Gujarat,1,0,1,0.0
Andhra,Jharkhand,1,1,0,100.0
Andhra,Madhya Pradesh,1,0,1,0.0
Andhra,Manipur,1,1,0,100.0
Andhra,Mumbai,1,0,1,0.0
Andhra,Puducherry,1,0,1,0.0
Andhra,Uttar Pradesh,1,0,1,0.0
Antigua and Barbuda Falcons,Barbados Royals,2,0,2,0.0
Antigua and Barbuda Falcons,Guyana Amazon Warriors,1,0,1,0.0
Antigua and Barbuda Falcons,St Kitts and Nevis Patriots,2,0,2,0.0
Antigua and Barbuda Falcons,St Lucia Kings,2,0,2,0.0
Antigua and Barbuda Falcons,Trinbago Knight Riders,4,2,2,50.0
Argentina,Bahamas,1,1,0,100.0
Argentina,Belize,2,2,0,100.0
Argentina,Bermuda,1,0,1,0.0
Argentina,Brazil,3,2,1,66.7
Argentina,Canada,1,0,1,0.0
Argentina,Cayman Islands,1,0,1,0.0
Argentina,Mexico,1,1,0,100.0
Argentina,United States of America,1,0,1,0.0
Arunachal Pradesh,Goa,1,0,1,0.0
Arunachal Pradesh,Saurashtra,1,0,1,0.0
Assam,Baroda,1,0,1,0.0
Assam,Bengal,1,1,0,100.0
Assam,Mumbai,1,0,1,0.0
Assam,Tamil Nadu,1,0,1,0.0
Auckland,Canterbury,2,1,1,50.0
Auckland,Central Districts,11,4,7,36.4
Auckland,Northern Districts,8,2,6,25.0
Auckland,Otago,4,1,3,25.0
Auckland,Wellington,10,5,5,50.0
Australia,Afghanistan,1,1,0,100.0
Australia,England,6,4,2,66.7
Australia,India,3,0,3,0.0
Australia,Ireland,1,1,0,100.0
Australia,New Zealand,3,2,1,66.7
Australia,Oman,1,1,0,100.0
Australia,Pakistan,2,2,0,100.0
Australia,Scotland,1,1,0,100.0
Australia,South Africa,2,2,0,100.0
Australia,Sri Lanka,7,5,2,71.4
Australia,West Indies,7,3,4,42.9
Austria,Belgium,1,1,0,100.0
Austria,Czech Republic,1,1,0,100.0
Austria,Denmark,1,0,1,0.0
Austria,Germany,6,1,5,16.7
Austria,Guernsey,1,1,0,100.0
Austria,Hungary,2,1,1,50.0
Austria,Jersey,1,0,1,0.0
Austria,Luxembourg,1,1,0,100.0
Austria,Norway,1,1,0,100.0
Austria,Romania,5,1,4,20.0
Austria,Slovenia,3,3,0,100.0
Austria,Sweden,2,2,0,100.0
Austria,Switzerland,4,3,1,75.0
B-Love Kandy,Galle Titans,2,2,0,100.0
B-Love Kandy,Jaffna Kings,2,2,0,100.0
Badureliya Sports Club,Ace Capital Cricket Club,3,1,2,33.3
Badureliya Sports Club,Burgher Recreation Club,2,0,2,0.0
Badureliya Sports Club,Chilaw Marians Cricket Club,2,1,1,50.0
Badureliya Sports Club,Colombo Cricket Club,6,2,4,33.3
Badureliya Sports Club,Kurunegala Youth Cricket Club,1,0,1,0.0
Badureliya Sports Club,Moors Sports Club,3,0,3,0.0
Badureliya Sports Club,Nondescripts Cricket Club,1,0,1,0.0
Badureliya Sports Club,Nugegoda Sports Welfare Club,1,0,1,0.0
Badureliya Sports Club,Saracens Sports Club,1,0,1,0.0
Badureliya Sports Club,Sinhalese Sports Club,2,1,1,50.0
Badureliya Sports Club,Sri Lanka Air Force Sports Club,1,0,1,0.0
Badureliya Sports Club,Sri Lanka Army,2,1,1,50.0
Badureliya Sports Club,Tamil Union Cricket and Athletic Club,1,0,1,0.0
Bahamas,Argentina,1,1,0,100.0
Bahamas,Belize,2,2,0,100.0
Bahamas,Bermuda,4,0,4,0.0
Bahamas,Brazil,1,1,0,100.0
Bahamas,Canada,4,0,4,0.0
Bahamas,Cayman Islands,2,0,2,0.0
Bahamas,Mexico,1,1,0,100.0
Bahamas,Panama,1,1,0,100.0
Bahamas,Suriname,1,1,0,100.0
Bahamas,United States of America,1,0,1,0.0
Bahawalpur Region,Rawalpindi Region,1,0,1,0.0
Bahrain,Bhutan,4,4,0,100.0
Bahrain,Cambodia,1,1,0,100.0
Bahrain,Canada,2,0,2,0.0
Bahrain,Germany,2,2,0,100.0
Bahrain,Hong Kong,1,1,0,100.0
Bahrain,Indonesia,5,4,1,80.0
Bahrain,Ireland,1,0,1,0.0
Bahrain,Kuwait,11,1,10,9.1
Bahrain,Malawi,2,2,0,100.0
Bahrain,Malaysia,3,1,2,33.3
Bahrain,Oman,2,1,1,50.0
Bahrain,Qatar,2,1,1,50.0
Bahrain,Rwanda,2,2,0,100.0
Bahrain,Saudi Arabia,3,2,1,66.7
Bahrain,Singapore,2,1,1,50.0
Bahrain,Tanzania,3,1,2,33.3
Bahrain,Thailand,1,0,1,0.0
Bahrain,Uganda,2,1,1,50.0
Bahrain,United Arab Emirates,4,2,2,50.0
Bahrain,Vanuatu,1,1,0,100.0
Balkh Legends,Nangarhar Leopards,3,2,1,66.7
Balochistan,Central Punjab (Pakistan),4,1,3,25.0
Balochistan,Khyber Pakhtunkhwa,4,2,2,50.0
Balochistan,Northern (Pakistan),5,0,5,0.0
Balochistan,Sindh,4,1,3,25.0
Balochistan,Southern Punjab (Pakistan),2,2,0,100.0
Band-e-Amir Dragons,Amo Sharks,4,1,3,25.0
Band-e-Amir Dragons,Boost Defenders,1,1,0,100.0
Band-e-Amir Dragons,Kabul Eagles,1,0,1,0.0
Band-e-Amir Dragons,Mis Ainak Knights,3,1,2,33.3
Band-e-Amir Dragons,Speen Ghar Tigers,6,4,2,66.7
Band-e-Amir Region,Boost Region,1,1,0,100.0
Band-e-Amir Region,Mis Ainak Region,2,2,0,100.0
Band-e-Amir Region,Speen Ghar Region,1,1,0,100.0
Bangladesh,Afghanistan,9,3,6,33.3
Bangladesh,Australia,8,4,4,50.0
Bangladesh,England,2,1,1,50.0
Bangladesh,India,7,1,6,14.3
Bangladesh,Ireland,4,2,2,50.0
Bangladesh,Malaysia,1,1,0,100.0
Bangladesh,Nepal,1,1,0,100.0
Bangladesh,Netherlands,4,3,1,75.0
Bangladesh,New Zealand,12,1,11,8.3
Bangladesh,Pakistan,8,2,6,25.0
Bangladesh,Scotland,1,0,1,0.0
Bangladesh,South Africa,3,0,3,0.0
Bangladesh,Sri Lanka,7,4,3,57.1
Bangladesh,United Arab Emirates,3,1,2,33.3
Bangladesh,United States of America,1,0,1,0.0
Bangladesh,West Indies,8,4,4,50.0
Bangladesh,Zimbabwe,10,7,3,70.0
Bangladesh A,Afghanistan A,1,0,1,0.0
Bangladesh A,India A,1,0,1,0.0
Bangladesh Krira Shikkha Protisthan,Gazi Group Cricketers,1,0,1,0.0
Bangladesh Krira Shikkha Protisthan,Prime Doleshwar Sporting Club,1,0,1,0.0
Barbados Royals,Antigua and Barbuda Falcons,2,0,2,0.0
Barbados Royals,Guyana Amazon Warriors,21,3,18,14.3
Barbados Royals,Jamaica Tallawahs,12,2,10,16.7
Barbados Royals,St Kitts and Nevis Patriots,11,2,9,18.2
Barbados Royals,St Lucia Kings,11,4,7,36.4
Barbados Royals,Trinbago Knight Riders,17,2,15,11.8
Barisal Bulls,Chattogram Challengers,3,2,1,66.7
Barisal Bulls,Comilla Victorians,4,1,3,25.0
Barisal Bulls,Minister Group Dhaka,4,2,2,50.0
Barisal Bulls,Rajshahi Royals,1,1,0,100.0
Barisal Bulls,Rangpur Rangers,2,0,2,0.0
Barisal Bulls,Sylhet Super Stars,1,0,1,0.0
Barishal Division,Chittagong,1,0,1,0.0
Barishal Division,Khulna Division,1,0,1,0.0
Barishal Division,Rajshahi Division,1,0,1,0.0
Barishal Division,Rangpur Division,1,0,1,0.0
Barishal Division,Sylhet Division,1,0,1,0.0
Baroda,Bengal,1,1,0,100.0
Baroda,Delhi,1,0,1,0.0
Baroda,Gujarat,1,0,1,0.0
Baroda,Haryana,1,1,0,100.0
Baroda,Himachal Pradesh,1,0,1,0.0
Baroda,Jammu & Kashmir,1,1,0,100.0
Baroda,Mumbai,1,1,0,100.0
Baroda,Punjab,1,1,0,100.0
Baroda,Tamil Nadu,1,0,1,0.0
Baroda,Uttar Pradesh,1,0,1,0.0
Belgium,Austria,4,0,4,0.0
Belgium,Denmark,1,1,0,100.0
Belgium,France,3,1,2,33.3
Belgium,Germany,3,0,3,0.0
Belgium,Gibraltar,1,1,0,100.0
Belgium,Hungary,1,1,0,100.0
Belgium,Luxembourg,2,2,0,100.0
Belgium,Malta,3,3,0,100.0
Belgium,Portugal,3,1,2,33.3
Belgium,Romania,1,1,0,100.0
Belgium,Serbia,1,1,0,100.0
Belgium,Spain,1,1,0,100.0
Belize,Bermuda,1,0,1,0.0
Belize,Canada,1,0,1,0.0
Belize,Suriname,1,0,1,0.0
Belize,United States of America,1,0,1,0.0
Bengal,Assam,1,0,1,0.0
Bengal,Baroda,1,0,1,0.0
Bengal,Chandigarh,1,1,0,100.0
Bengal,Gujarat,1,1,0,100.0
Bengal,Jharkhand,2,2,0,100.0
Bengal,Tamil Nadu,1,0,1,0.0
Bengal,Uttar Pradesh,1,0,1,0.0
Bermuda,Argentina,3,3,0,100.0
Bermuda,Bahamas,2,2,0,100.0
Bermuda,Belize,1,1,0,100.0
Bermuda,Canada,3,1,2,33.3
Bermuda,Cayman Islands,6,5,1,83.3
Bermuda,Netherlands,1,0,1,0.0
Bermuda,Panama,1,1,0,100.0
Bermuda,Suriname,1,1,0,100.0
Bermuda,United States of America,5,2,3,40.0
Beximco Dhaka,Fortune Barishal,3,2,1,66.7
Beximco Dhaka,Gazi Group Chattogram,3,1,2,33.3
Beximco Dhaka,Gemcon Khulna,2,1,1,50.0
Beximco Dhaka,Minister Rajshahi,2,1,1,50.0
Bhutan,Bahrain,2,0,2,0.0
Bhutan,Cambodia,1,0,1,0.0
Bhutan,China,1,1,0,100.0
Bhutan,Malaysia,2,0,2,0.0
Bhutan,Maldives,5,2,3,40.0
Bhutan,Myanmar,1,1,0,100.0
