team,matches,wins,win_pct
Abahani Limited,18,13,72.2
Abbottabad Falcons,3,0,0.0
Abbottabad Region,4,1,25.0
Abu Dhabi Knight Riders,27,9,33.3
Ace Capital Cricket Club,51,10,19.6
Adelaide Strikers,123,63,51.2
Afghanistan,133,83,62.4
Afghanistan A,12,7,58.3
Amo Region,7,2,28.6
Amo Sharks,40,18,45.0
Andhra,12,5,41.7
Antigua and Barbuda Falcons,20,8,40.0
Argentina,23,11,47.8
Arunachal Pradesh,2,0,0.0
Assam,9,6,66.7
Auckland,71,30,42.3
Australia,142,82,57.7
Austria,65,46,70.8
B-Love Kandy,11,7,63.6
Badureliya Sports Club,53,22,41.5
Bahamas,29,8,27.6
Bahawalpur Region,3,1,33.3
Bahrain,102,62,60.8
Balkh Legends,10,8,80.0
Balochistan,22,8,36.4
Band-e-Amir Dragons,46,25,54.3
Band-e-Amir Region,8,6,75.0
Bangladesh,166,74,44.6
Bangladesh A,8,3,37.5
Bangladesh Emerging Team,1,1,100.0
Bangladesh Krira Shikkha Protisthan,2,0,0.0
Barbados Royals,116,23,19.8
Barisal Bulls,25,13,52.0
Barishal Division,6,0,0.0
Baroda,17,9,52.9
Belgium,40,22,55.0
Belize,12,2,16.7
Bengal,11,5,45.5
Bermuda,46,29,63.0
Beximco Dhaka,10,5,50.0
Bhutan,35,9,25.7
Bihar,5,1,20.0
Birmingham Phoenix (Men),39,21,53.8
Bloomfield Cricket and Athletic Club,52,21,40.4
Boland,41,19,46.3
Boost Defenders,42,21,50.0
Boost Region,8,4,50.0
Border,25,13,52.0
Botswana,49,16,32.7
Brazil,12,2,16.7
Brisbane Heat,124,56,45.2
Brothers Union,13,4,30.8
Bulgaria,54,17,31.5
Burgher Recreation Club,39,21,53.8
Cambodia,30,13,43.3
Cameroon,18,2,11.1
Canada,71,43,60.6
Canterbury,78,39,50.0
Cape Cobras,44,19,43.2
Cape Town Blitz,19,10,52.6
Cayman Islands,35,14,40.0
Central Districts,77,40,51.9
Central Punjab (Pakistan),22,10,45.5
Chandigarh,1,0,0.0
Chattogram Challengers,98,25,25.5
Chennai Super Kings,138,73,52.9
Chhattisgarh,4,1,25.0
Chilaw Marians Cricket Club,50,22,44.0
China,11,2,18.2
Chittagong,8,0,0.0
Chittagong Kings,15,9,60.0
Colombo,7,4,57.1
Colombo Commandos,6,4,66.7
Colombo Cricket Club,61,40,65.6
Colombo Stars,20,5,25.0
Colombo Strikers,17,7,41.2
Colts Cricket Club,56,38,67.9
Comilla Victorians,92,61,66.3
Cook Islands,16,7,43.8
Costa Rica,9,3,33.3
Croatia,31,4,12.9
Cumilla Warriors,12,4,33.3
Cyprus,32,20,62.5
Czech Republic,40,18,45.0
Dambulla,7,4,57.1
Dambulla Aura,18,9,50.0
Dambulla Giants,9,0,0.0
Dambulla Thunders,8,0,0.0
Delhi,19,12,63.2
Delhi Capitals,162,51,31.5
Denmark,42,19,45.2
Derbyshire,143,60,42.0
Desert Vipers,29,15,51.7
Dhaka Capital,11,2,18.2
Dhaka Division,6,3,50.0
Dhaka Dominators,12,3,25.0
Dhaka Metropolis,6,3,50.0
Dolphins,64,34,53.1
Dubai Capitals,33,16,48.5
Durban Heat,16,6,37.5
Durban's Super Giants,31,14,45.2
Durbar Rajshahi,11,6,54.5
Durdanto Dhaka,12,1,8.3
Durham,152,66,43.4
Eastern Province,25,19,76.0
Easterns,25,12,48.0
England,139,77,55.4
England Lions,7,4,57.1
Essex,149,65,43.6
Estonia,31,11,35.5
Eswatini,16,6,37.5
Faisalabad,11,4,36.4
Faisalabad Region,4,1,25.0
Federal Areas,14,0,0.0
Fiji,11,6,54.5
Finland,32,14,43.8
Fortune Barishal,61,39,63.9
France,35,16,45.7
Free State,24,12,50.0
Galle,6,2,33.3
Galle Cricket Club,35,11,31.4
Galle Gladiators,19,5,26.3
