ground,matches,total_runs,total_wickets,balls,rpo,country
"Shere Bangla National Stadium, Mirpur",358,100542,4564,83282,7.24,Bangladesh
Dubai International Cricket Stadium,212,62552,2655,49904,7.52,United Arab Emirates
Rawalpindi Cricket Stadium,153,49324,1828,35494,8.34,Pakistan
Sharjah Cricket Stadium,149,44855,1894,34965,7.7,United Arab Emirates
"Edgbaston, Birmingham",135,41536,1806,30243,8.24,England
Harare Sports Club,129,35261,1633,28790,7.35,Zimbabwe
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),129,36573,1667,29938,7.33,Oman
Kabul International Cricket Stadium,110,33176,1344,25481,7.81,Afghanistan
"Wankhede Stadium, Mumbai",109,37168,1309,26387,8.45,India
"Gaddafi Stadium, Lahore",108,34914,1389,25414,8.24,Pakistan
"R Premadasa Stadium, Colombo",105,30657,1407,24310,7.57,Sri Lanka
"Kennington Oval, London",103,31257,1237,22063,8.5,England
"Trent Bridge, Nottingham",101,31552,1262,22137,8.55,England
"The Rose Bowl, Southampton",101,29735,1228,22378,7.97,England
"Sophia Gardens, Cardiff",101,28531,1229,21129,8.1,England
"Eden Gardens, Kolkata",98,32306,1197,23054,8.41,India
"Providence Stadium, Guyana",98,27469,1238,22244,7.41,West Indies
"Warner Park, Basseterre, St Kitts",98,30199,1238,22641,8.0,West Indies
"Old Trafford, Manchester",92,27933,1130,20377,8.22,England
"Gahanga International Cricket Stadium, Rwanda",91,21968,1197,19618,6.72,Rwanda
"Headingley, Leeds",91,30374,1171,20722,8.79,England
"Zayed Cricket Stadium, Abu Dhabi",86,26254,989,20379,7.73,United Arab Emirates
Sylhet International Cricket Stadium,85,25878,1041,19901,7.8,Bangladesh
"P Sara Oval, Colombo",83,20444,1117,17763,6.91,Sri Lanka
"National Stadium, Karachi",81,26939,978,19344,8.36,Pakistan
"Riverside Ground, Chester-le-Street",78,23857,960,18062,7.93,England
