year,bat,runs,balls,sr
2015,AB de Villiers,673,416,161.78
2015,Aamer Yamin,141,92,153.26
2015,Aamir Kaleem,202,159,127.04
2015,Aaron Finch,275,231,119.05
2015,Aaron Phangiso,53,59,89.83
2015,Abdul Shakoor,63,54,116.67
2015,Abul Hasan,59,63,93.65
2015,Adam Rossington,93,69,134.78
2015,Adam Voges,249,201,123.88
2015,Adam Wheater,314,227,138.33
2015,Adeel Malik,98,66,148.48
2015,Adeesha Nanayakkara,86,88,97.73
2015,Adil Amin,141,128,110.16
2015,Adnan Ilyas,159,147,108.16
2015,Adnan Raees,123,84,146.43
2015,Afaq Raheem,162,117,138.46
2015,Ahmed Shehzad,601,528,113.83
2015,Ahsan Ali,136,90,151.11
2015,Aiden Blizzard,199,174,114.37
2015,Aiden Markram,308,249,123.69
2015,Aizaz Khan,84,66,127.27
2015,Ajinkya Rahane,577,448,128.79
2015,Akeem Dodson,142,140,101.43
2015,Al-Amin,64,57,112.28
2015,Albie Morkel,341,249,136.95
2015,Alex Amsterdam,90,104,86.54
2015,Alex Blake,304,182,167.03
2015,Alex Davies,235,164,143.29
2015,Alex Hales,373,281,132.74
2015,Alex Hughes,137,106,129.25
2015,Alex Lees,175,152,115.13
2015,Alex Ross,186,118,157.63
2015,Alex Wakely,235,218,107.8
2015,Ali Shan,67,70,95.71
2015,Alok Kapali,95,80,118.75
2015,Alviro Petersen,220,197,111.68
2015,Amal Athulathmudali,208,146,142.47
2015,Ambati Rayudu,281,196,143.37
2015,Amir Ali,75,60,125.0
2015,Anamul Haque,174,175,99.43
2015,Andile Phehlukwayo,84,81,103.7
2015,Andre Fletcher,451,337,133.83
2015,Andre Malan,62,77,80.52
2015,Andre Russell,776,441,175.96
2015,Andrea Agathangelou,77,67,114.93
2015,Andrew Gale,288,263,109.51
2015,Andrew Puttick,323,314,102.87
2015,Andri Berenger,153,102,150.0
2015,Andries Gous,259,171,151.46
2015,Andy Balbirnie,215,202,106.44
2015,Andy Hodd,113,96,117.71
2015,Andy Solomons,100,76,131.58
2015,Angelo Mathews,209,149,140.27
2015,Angelo Perera,102,96,106.25
2015,Anil Mandal,40,67,59.7
2015,Anshy Rath,133,167,79.64
2015,Anwar Ali,115,79,145.57
2015,Asad Shafiq,160,137,116.79
2015,Asela Gunaratne,142,103,137.86
2015,Asghar Afghan,238,228,104.39
2015,Ashan Priyanjan,100,76,131.58
2015,Ashar Zaidi,215,155,138.71
2015,Ashton Agar,62,64,96.88
2015,Ashwell Prince,455,357,127.45
2015,Asif Ali,101,90,112.22
2015,Assad Fudadin,123,123,100.0
2015,Assad Vala,131,146,89.73
2015,Ateeq Javid,187,150,124.67
2015,Aubrey Swanepoel,153,142,107.75
2015,Axar Patel,230,204,112.75
2015,Ayaz Tasawwar,78,63,123.81
2015,Azeem Ghumman,91,78,116.67
2015,Azhar Ali,72,72,100.0
2015,Azhar Mahmood,110,83,132.53
2015,Babar Azam,335,284,117.96
2015,Babar Hayat,257,216,118.98
2015,Ben Cooper,323,245,131.84
2015,Ben Cox,130,104,125.0
2015,Ben Cutting,167,118,141.53
2015,Ben Duckett,224,174,128.74
2015,Ben Dunk,142,118,120.34
2015,Ben Foakes,91,79,115.19
2015,Ben Raine,111,86,129.07
2015,Ben Rohrer,76,77,98.7
2015,Ben Stevens,54,66,81.82
2015,Ben Stokes,212,137,154.74
2015,Ben Wright,116,98,118.37
2015,Benny Howell,173,142,121.83
2015,Bhanuka Rajapaksa,129,84,153.57
2015,Bilal Asif,180,93,193.55
2015,Billy Godleman,111,111,100.0
2015,Bokang Mosena,29,53,54.72
2015,Brad Haddin,141,96,146.88
2015,Brad Hodge,439,329,133.43
2015,Brendan Taylor,126,115,109.57
2015,Brendon Louw,70,74,94.59
2015,Brendon McCullum,741,436,169.95
2015,Brett D'Oliveira,116,88,131.82
2015,Callum Ferguson,56,61,91.8
2015,Calum MacLeod,324,257,126.07
2015,Cameron Delport,557,428,130.14
2015,Cameron White,173,179,96.65
2015,Carlos Brathwaite,124,81,153.09
2015,Chadwick Walton,243,219,110.96
2015,Chalana de Silva,48,55,87.27
2015,Chamara Kapugedera,232,129,179.84
2015,Chamara Silva,153,101,151.49
2015,Chamu Chibhabha,153,142,107.75
2015,Chanaka Ruwansiri,165,95,173.68
2015,Charith Ruchiranga,96,93,103.23
2015,Charles Amini,68,73,93.15
2015,Chatura Damith,81,64,126.56
2015,Chaturanga de Silva,69,58,118.97
2015,Chesney Hughes,276,212,130.19
2015,Chris Barnwell,81,73,110.96
2015,Chris Cooke,259,188,137.77
2015,Chris Dent,72,60,120.0
2015,Chris Gayle,1665,1012,164.53
2015,Chris Jordan,78,58,134.48
2015,Chris Lynn,534,368,145.11
2015,Chris Morris,157,94,167.02
2015,Chris Nash,446,333,133.93
2015,Chris Woakes,106,62,170.97
2015,Chris Wood,69,58,118.97
2015,Christiaan Jonker,148,121,122.31
2015,Clyde Fortuin,138,126,109.52
2015,Cobus Pienaar,121,88,137.5
2015,Cody Chetty,64,63,101.59
2015,Colin Ackermann,351,296,118.58
2015,Colin Ingram,602,412,146.12
2015,Colin Munro,224,165,135.76
2015,Collins Obuya,141,154,91.56
2015,Corey Anderson,114,97,117.53
2015,Cornelis Bodenstein,60,61,98.36
2015,Craig Cachopa,291,203,143.35
2015,Craig Ervine,102,132,77.27
2015,Craig Meschede,175,122,143.44
2015,Craig Simmons,160,142,112.68
2015,Craig Williams,187,143,130.77
2015,Dan Christian,197,130,151.54
2015,Daniel Bell-Drummond,355,272,130.51
